Column1,sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,1,1,0,1,1.0,0.0
2,2,2,0,2,1.0,0.0
3,3,3,0,3,1.0,0.0
4,4,4,0,6,1.0,0.0
5,5,5,0,3,1.0,0.0
6,6,6,0,5,1.0,0.0
7,7,7,0,6,1.0,0.0
8,8,8,0,7,1.0,0.0
9,9,9,0,6,1.0,0.0
10,10,10,0,5,1.0,0.0
11,11,11,0,3,1.0,0.0
12,12,12,0,2,1.0,0.0
13,13,13,0,5,1.0,0.0
14,14,14,0,6,1.0,0.0
15,15,15,0,5,1.0,0.0
16,16,16,0,6,1.0,0.0
17,17,17,0,6,1.0,0.0
18,18,18,0,4,1.0,0.0
19,19,19,0,4,1.0,0.0
20,20,20,0,4,1.0,0.0
21,21,21,0,1,1.0,0.0
22,22,22,0,2,1.0,0.0
23,23,23,0,4,1.0,0.0
24,24,24,0,2,1.0,0.0
25,25,25,0,2,1.0,0.0
26,26,26,0,1,1.0,0.0
27,27,27,0,1,1.0,0.0
28,28,28,0,1,1.0,0.0
29,29,29,0,1,1.0,0.0
30,30,30,0,2,1.0,0.0
31,31,31,0,1,1.0,0.0
32,32,32,2,4,2.0,1.0
33,33,33,1,4,2.0,1.0
34,34,34,1,5,3.0,2.0
35,35,35,1,4,2.0,1.0
36,36,36,4,6,3.0,2.0
37,37,37,2,6,2.0,1.0
38,38,38,1,2,2.0,1.0
39,39,39,3,4,2.5,2.0
40,40,40,2,5,3.333333333333333,2.0
41,41,41,8,4,2.6666666666666665,3.0
42,42,42,1,2,3.333333333333333,3.0
43,43,43,5,5,3.4,4.0
44,44,44,4,4,2.8,3.0
45,45,45,6,4,2.9,2.0
46,46,46,2,4,3.6363636363636367,4.0
47,47,47,1,4,3.333333333333333,3.0
48,48,48,16,3,2.7727272727272725,2.0
49,49,49,1,3,3.333333333333333,3.0
50,50,50,3,3,2.0,1.0
51,51,51,2,4,2.0,1.0
52,52,52,1,4,4.3076923076923075,5.0
53,53,53,1,4,3.1818181818181817,3.0
54,54,54,9,3,4.6103896103896105,4.0
55,55,55,2,2,4.363636363636363,5.0
56,56,56,2,2,2.0,1.0
57,57,57,5,2,4.0625,4.0
58,58,58,4,1,4.6,4.0
59,59,59,5,2,4.0625,4.0
60,60,60,4,4,3.125,2.0
61,61,61,2,4,2.0,1.0
62,62,62,3,4,3.333333333333333,3.0
63,63,63,10,3,3.928571428571429,4.0
64,64,64,1,4,4.6923076923076925,5.0
65,65,65,1,2,3.1818181818181817,3.0
66,66,66,12,2,2.5,1.0
67,67,67,12,2,4.63265306122449,4.0
68,68,68,4,1,3.7857142857142856,3.0
69,69,69,8,1,4.45,5.0
70,70,70,5,1,3.4,4.0
71,71,71,11,1,4.191011235955056,3.0
72,72,72,6,1,4.434782608695652,5.0
73,73,73,3,1,4.0,5.0
74,74,74,1,1,2.0,1.0
75,75,75,5,1,3.9302325581395348,4.0
76,76,76,13,1,3.6521739130434785,4.0
77,77,77,2,1,3.6363636363636367,4.0
78,78,78,10,1,4.293333333333333,3.0
79,79,79,10,2,2.9333333333333336,3.0
80,80,80,7,1,4.1521739130434785,3.0
81,81,81,5,1,4.146341463414634,4.0
82,82,82,6,0,4.297872340425532,5.0
83,83,83,10,0,3.7222222222222223,3.0
84,84,84,1,0,5.6923076923076925,6.0
