Column1,sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,1,1,0,1,1.0,0.0
2,2,2,0,6,1.0,0.0
3,3,3,0,6,1.0,0.0
4,4,4,0,3,1.0,0.0
5,5,5,0,4,1.0,0.0
6,6,6,0,4,1.0,0.0
7,7,7,0,4,1.0,0.0
8,8,8,0,7,1.0,0.0
9,9,9,0,7,1.0,0.0
10,10,10,0,6,1.0,0.0
11,11,11,0,6,1.0,0.0
12,12,12,0,5,1.0,0.0
13,13,13,0,5,1.0,0.0
14,14,14,0,2,1.0,0.0
15,15,15,0,4,1.0,0.0
16,16,16,0,4,1.0,0.0
17,17,17,0,4,1.0,0.0
18,18,18,0,3,1.0,0.0
19,19,19,0,4,1.0,0.0
20,20,20,0,5,1.0,0.0
21,21,21,0,5,1.0,0.0
22,22,22,0,5,1.0,0.0
23,23,23,0,5,1.0,0.0
24,24,24,0,1,1.0,0.0
25,25,25,1,6,2.0,1.0
26,26,26,1,5,2.0,1.0
27,27,27,1,3,2.0,1.0
28,28,28,3,4,2.3333333333333335,1.0
29,29,29,4,5,2.5,2.0
30,30,30,2,4,2.0,1.0
31,31,31,2,4,2.0,1.0
32,32,32,3,4,2.0,1.0
33,33,33,1,6,2.0,1.0
34,34,34,4,2,2.5,2.0
35,35,35,1,3,2.0,1.0
36,36,36,1,2,3.0,2.0
37,37,37,9,6,2.8823529411764706,3.0
38,38,38,4,3,2.857142857142857,3.0
39,39,39,1,3,3.7272727272727275,4.0
40,40,40,3,3,2.0,1.0
41,41,41,4,4,2.5,2.0
42,42,42,2,4,2.5,2.0
43,43,43,1,4,3.7272727272727275,4.0
44,44,44,1,4,3.0,2.0
45,45,45,7,3,2.25,2.0
46,46,46,3,3,2.0,1.0
47,47,47,2,4,2.0,1.0
48,48,48,1,4,3.0,2.0
49,49,49,1,3,3.0,2.0
50,50,50,3,5,2.3333333333333335,2.0
51,51,51,6,5,3.666666666666667,3.0
52,52,52,3,5,3.5,3.0
53,53,53,1,5,3.0,2.0
54,54,54,1,2,3.0,2.0
55,55,55,8,2,2.9333333333333336,3.0
56,56,56,3,5,3.333333333333333,3.0
57,57,57,14,5,3.828125,3.0
58,58,58,2,5,3.583333333333333,4.0
59,59,59,1,5,3.7272727272727275,4.0
60,60,60,16,5,4.230769230769231,4.0
61,61,61,2,5,2.5,1.0
62,62,62,3,5,4.461538461538462,4.0
63,63,63,6,3,3.666666666666667,3.0
64,64,64,1,5,2.0,1.0
65,65,65,1,5,2.0,1.0
66,66,66,13,5,3.0,3.0
67,67,67,5,4,3.142857142857143,3.0
68,68,68,13,3,3.611111111111111,3.0
69,69,69,7,3,4.0,4.0
70,70,70,4,2,3.5,4.0
71,71,71,1,2,3.7272727272727275,4.0
72,72,72,7,2,3.892857142857143,4.0
73,73,73,15,2,3.821428571428571,3.0
74,74,74,16,2,4.2214285714285715,4.0
75,75,75,6,2,3.666666666666667,3.0
76,76,76,20,2,2.642857142857143,2.0
77,77,77,1,2,2.0,1.0
78,78,78,16,3,4.238532110091743,4.0
79,79,79,6,3,3.571428571428571,4.0
80,80,80,27,3,4.1644295302013425,3.0
81,81,81,1,1,3.0,2.0
82,82,82,7,1,4.421052631578947,4.0
83,83,83,11,0,4.113924050632912,3.0
84,84,84,6,0,4.265060240963855,4.0
