Column1,sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,1,1,0,2,1.0,0.0
2,2,2,0,3,1.0,0.0
3,3,3,0,3,1.0,0.0
4,4,4,0,2,1.0,0.0
5,5,5,0,3,1.0,0.0
6,6,6,0,9,1.0,0.0
7,7,7,0,8,1.0,0.0
8,8,8,0,4,1.0,0.0
9,9,9,0,4,1.0,0.0
10,10,10,0,7,1.0,0.0
11,11,11,0,7,1.0,0.0
12,12,12,0,7,1.0,0.0
13,13,13,0,7,1.0,0.0
14,14,14,0,6,1.0,0.0
15,15,15,0,7,1.0,0.0
16,16,16,0,8,1.0,0.0
17,17,17,0,7,1.0,0.0
18,18,18,0,7,1.0,0.0
19,19,19,0,7,1.0,0.0
20,20,20,0,1,1.0,0.0
21,21,21,0,1,1.0,0.0
22,22,22,0,1,1.0,0.0
23,23,23,2,7,2.0,1.0
24,24,24,1,7,2.0,1.0
25,25,25,2,9,2.0,1.0
26,26,26,1,10,3.0,2.0
27,27,27,2,9,3.333333333333333,3.0
28,28,28,1,7,4.333333333333334,4.0
29,29,29,5,8,2.3333333333333335,2.0
30,30,30,2,8,2.0,1.0
31,31,31,3,7,3.166666666666667,2.0
32,32,32,7,7,2.5555555555555554,2.0
33,33,33,9,5,2.2,1.0
34,34,34,3,4,3.8181818181818183,5.0
35,35,35,4,7,2.0,1.0
36,36,36,1,7,4.0,3.0
37,37,37,4,8,3.7142857142857144,2.0
38,38,38,6,8,3.6842105263157894,3.0
39,39,39,2,8,2.0,1.0
40,40,40,5,7,2.3333333333333335,2.0
41,41,41,1,7,2.0,1.0
42,42,42,2,6,2.0,1.0
43,43,43,8,7,3.193548387096774,3.0
44,44,44,14,7,3.6491228070175437,3.0
45,45,45,2,7,2.0,1.0
46,46,46,5,6,2.3333333333333335,2.0
47,47,47,7,5,3.6399999999999997,3.0
48,48,48,2,5,2.0,1.0
49,49,49,10,6,3.761904761904762,3.0
50,50,50,2,6,2.0,1.0
51,51,51,11,6,3.5483870967741935,3.0
52,52,52,7,6,2.5555555555555554,2.0
53,53,53,1,5,4.277777777777778,4.0
54,54,54,6,3,3.5625,5.0
55,55,55,8,2,3.9333333333333336,4.0
56,56,56,3,2,3.25,2.0
57,57,57,4,2,2.0,1.0
58,58,58,11,2,3.5483870967741935,3.0
59,59,59,10,2,3.4827586206896552,3.0
60,60,60,8,1,3.864864864864865,3.0
61,61,61,2,1,2.0,1.0
62,62,62,2,1,4.25,3.0
63,63,63,10,1,3.742424242424242,4.0
64,64,64,1,1,4.333333333333334,4.0
65,65,65,18,1,3.8076923076923075,3.0
66,66,66,9,1,4.268518518518519,3.0
67,67,67,7,1,3.6842105263157894,4.0
68,68,68,3,1,3.2727272727272725,3.0
69,69,69,15,1,3.6271186440677967,3.0
70,70,70,6,1,3.709677419354839,4.0
71,71,71,4,0,3.864864864864865,4.0
72,72,72,3,0,3.25,2.0
73,73,73,4,0,2.0,1.0
74,74,74,5,0,4.370967741935484,4.0
75,75,75,7,0,3.4705882352941178,5.0
76,76,76,12,0,2.5,2.0
77,77,77,1,0,3.0,2.0
78,78,78,3,0,3.833333333333333,3.0
79,79,79,31,0,4.137071651090343,3.0
80,80,80,3,0,3.8076923076923075,3.0
81,81,81,4,0,4.49090909090909,5.0
82,82,82,4,0,3.9230769230769234,4.0
83,83,83,11,0,4.128205128205128,3.0
