Column1,sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,1,1,0,3,1.0,0.0
2,2,2,0,3,1.0,0.0
3,3,3,0,3,1.0,0.0
4,4,4,0,8,1.0,0.0
5,5,5,0,7,1.0,0.0
6,6,6,0,5,1.0,0.0
7,7,7,0,3,1.0,0.0
8,8,8,0,6,1.0,0.0
9,9,9,0,5,1.0,0.0
10,10,10,0,5,1.0,0.0
11,11,11,0,2,1.0,0.0
12,12,12,0,1,1.0,0.0
13,13,13,0,2,1.0,0.0
14,14,14,0,3,1.0,0.0
15,15,15,0,2,1.0,0.0
16,16,16,0,2,1.0,0.0
17,17,17,0,6,1.0,0.0
18,18,18,0,1,1.0,0.0
19,19,19,0,1,1.0,0.0
20,20,20,0,1,1.0,0.0
21,21,21,1,7,2.0,1.0
22,22,22,3,5,2.3333333333333335,1.0
23,23,23,2,3,2.5,2.0
24,24,24,1,3,3.0,2.0
25,25,25,4,3,2.25,1.0
26,26,26,1,3,2.0,1.0
27,27,27,4,2,2.0,1.0
28,28,28,1,2,2.0,1.0
29,29,29,1,1,4.0,3.0
30,30,30,4,2,2.25,1.0
31,31,31,1,2,3.0,2.0
32,32,32,3,2,3.0,2.0
33,33,33,2,4,3.25,2.0
34,34,34,1,5,2.0,1.0
35,35,35,1,6,2.0,1.0
36,36,36,1,2,3.0,2.0
37,37,37,1,3,4.0,3.0
38,38,38,2,5,2.0,1.0
39,39,39,3,4,3.5,3.0
40,40,40,4,4,3.75,3.0
41,41,41,7,3,2.142857142857143,1.0
42,42,42,13,3,3.3200000000000003,2.0
43,43,43,3,5,2.8333333333333335,2.0
44,44,44,3,5,2.0,1.0
45,45,45,2,5,2.0,1.0
46,46,46,2,4,3.5555555555555554,3.0
47,47,47,6,2,3.8181818181818183,3.0
48,48,48,5,2,2.5,3.0
49,49,49,1,3,3.0,2.0
50,50,50,1,2,2.0,1.0
51,51,51,4,2,3.666666666666667,3.0
52,52,52,8,2,3.7727272727272725,3.0
53,53,53,9,5,3.7142857142857144,3.0
54,54,54,2,5,4.0,4.0
55,55,55,8,6,2.3333333333333335,1.0
56,56,56,3,5,3.333333333333333,2.0
57,57,57,3,6,4.111111111111111,4.0
58,58,58,3,6,2.0,1.0
59,59,59,15,6,4.076923076923077,4.0
60,60,60,9,6,4.098591549295774,4.0
61,61,61,1,6,3.0,2.0
62,62,62,16,3,4.440789473684211,4.0
63,63,63,2,4,3.0,2.0
64,64,64,2,4,3.0,2.0
65,65,65,5,4,4.0,4.0
66,66,66,4,4,4.0,4.0
67,67,67,5,4,4.403846153846153,5.0
68,68,68,5,4,4.166666666666666,4.0
69,69,69,13,4,4.528169014084507,4.0
70,70,70,7,2,4.778846153846153,4.0
71,71,71,3,2,3.7058823529411766,3.0
72,72,72,10,2,3.6904761904761907,3.0
73,73,73,9,2,3.71875,4.0
74,74,74,3,1,3.7272727272727275,4.0
75,75,75,1,1,4.0,3.0
76,76,76,1,1,4.0,3.0
77,77,77,19,1,4.583815028901734,3.0
78,78,78,3,1,2.3333333333333335,1.0
79,79,79,13,0,4.101123595505618,4.0
