Column1,sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,1,1,0,3,1.0,0.0
2,2,2,0,3,1.0,0.0
3,3,3,0,5,1.0,0.0
4,4,4,0,3,1.0,0.0
5,5,5,0,6,1.0,0.0
6,6,6,0,5,1.0,0.0
7,7,7,0,7,1.0,0.0
8,8,8,0,6,1.0,0.0
9,9,9,0,6,1.0,0.0
10,10,10,0,6,1.0,0.0
11,11,11,0,6,1.0,0.0
12,12,12,0,5,1.0,0.0
13,13,13,0,4,1.0,0.0
14,14,14,0,2,1.0,0.0
15,15,15,0,3,1.0,0.0
16,16,16,0,1,1.0,0.0
17,17,17,0,2,1.0,0.0
18,18,18,1,3,2.0,1.0
19,19,19,1,5,2.0,1.0
20,20,20,1,5,2.0,1.0
21,21,21,1,4,3.0,2.0
22,22,22,3,5,3.0,2.0
23,23,23,1,5,3.0,2.0
24,24,24,1,4,2.0,1.0
25,25,25,3,4,2.75,3.0
26,26,26,3,4,2.0,1.0
27,27,27,2,4,2.5,2.0
28,28,28,6,2,2.1666666666666665,1.0
29,29,29,1,2,2.0,1.0
30,30,30,6,3,2.1666666666666665,1.0
31,31,31,6,2,2.6666666666666665,2.0
32,32,32,1,1,2.0,1.0
33,33,33,1,3,3.5,3.0
34,34,34,5,3,2.4,3.0
35,35,35,1,3,2.0,1.0
36,36,36,3,4,2.0,1.0
37,37,37,2,4,3.0,3.0
38,38,38,2,5,2.5,1.0
39,39,39,2,5,2.0,1.0
40,40,40,1,4,3.5,3.0
41,41,41,5,7,3.8181818181818183,3.0
42,42,42,1,7,2.0,1.0
43,43,43,10,5,3.0,3.0
44,44,44,2,5,3.0,3.0
45,45,45,2,3,4.0,4.0
46,46,46,2,4,3.0,2.0
47,47,47,3,5,3.0,2.0
48,48,48,4,5,3.8,3.0
49,49,49,1,5,5.0,5.0
50,50,50,7,5,3.083333333333333,3.0
51,51,51,10,6,2.5,2.0
52,52,52,5,6,3.571428571428571,4.0
53,53,53,5,6,3.571428571428571,4.0
54,54,54,3,5,3.9047619047619047,3.0
55,55,55,2,5,3.0,3.0
56,56,56,1,5,3.0,2.0
57,57,57,2,4,3.7142857142857144,4.0
58,58,58,8,1,4.4576271186440675,4.0
59,59,59,1,2,3.5,3.0
60,60,60,10,2,4.205479452054794,3.0
61,61,61,2,1,2.0,1.0
62,62,62,7,1,3.083333333333333,3.0
63,63,63,1,1,4.5,4.0
64,64,64,12,2,4.261363636363637,3.0
65,65,65,2,2,3.142857142857143,2.0
66,66,66,12,2,3.2142857142857144,2.0
67,67,67,1,2,2.0,1.0
68,68,68,1,2,3.0,2.0
69,69,69,1,2,4.214285714285714,4.0
70,70,70,4,2,3.8,3.0
71,71,71,8,2,4.19672131147541,3.0
72,72,72,22,0,4.163934426229508,3.0
73,73,73,5,0,3.8181818181818183,3.0
74,74,74,8,0,4.342105263157895,3.0
75,75,75,6,0,4.020833333333334,4.0
76,76,76,4,0,4.658536585365853,4.0
77,77,77,21,0,4.168067226890756,3.0
78,78,78,14,0,2.9642857142857144,3.0
