Column1,sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,1,1,0,5,1.0,0.0
2,2,2,0,6,1.0,0.0
3,3,3,0,5,1.0,0.0
4,4,4,0,4,1.0,0.0
5,5,5,0,3,1.0,0.0
6,6,6,0,4,1.0,0.0
7,7,7,0,7,1.0,0.0
8,8,8,0,7,1.0,0.0
9,9,9,0,7,1.0,0.0
10,10,10,0,9,1.0,0.0
11,11,11,0,9,1.0,0.0
12,12,12,0,7,1.0,0.0
13,13,13,0,8,1.0,0.0
14,14,14,0,4,1.0,0.0
15,15,15,0,4,1.0,0.0
16,16,16,0,3,1.0,0.0
17,17,17,0,4,1.0,0.0
18,18,18,0,3,1.0,0.0
19,19,19,0,4,1.0,0.0
20,20,20,0,1,1.0,0.0
21,21,21,2,5,2.0,1.0
22,22,22,1,3,2.0,1.0
23,23,23,1,3,3.0,2.0
24,24,24,2,5,2.0,1.0
25,25,25,4,7,2.4,2.0
26,26,26,1,7,2.0,1.0
27,27,27,1,8,2.0,1.0
28,28,28,1,7,3.4,3.0
29,29,29,4,9,2.4,2.0
30,30,30,2,7,2.0,1.0
31,31,31,3,5,3.0,3.0
32,32,32,1,5,3.0,2.0
33,33,33,3,3,2.0,1.0
34,34,34,5,3,3.761904761904762,3.0
35,35,35,3,4,3.0,3.0
36,36,36,11,8,2.642857142857143,2.0
37,37,37,2,9,3.7222222222222223,3.0
38,38,38,1,7,4.0,4.0
39,39,39,4,8,3.75,3.0
40,40,40,3,10,3.0,3.0
41,41,41,4,3,3.6875,2.0
42,42,42,12,2,4.028985507246377,3.0
43,43,43,5,2,2.3333333333333335,1.0
44,44,44,1,2,3.2222222222222223,3.0
45,45,45,5,3,4.217391304347826,4.0
46,46,46,1,3,4.222222222222222,4.0
47,47,47,7,4,4.0,3.0
48,48,48,1,5,4.0,3.0
49,49,49,1,5,3.2222222222222223,3.0
50,50,50,7,5,4.578125,4.0
51,51,51,2,4,2.0,1.0
52,52,52,3,4,2.0,1.0
53,53,53,10,4,3.6,2.0
54,54,54,4,2,3.875,4.0
55,55,55,8,3,4.088235294117647,4.0
56,56,56,2,3,3.0,2.0
57,57,57,7,4,4.0,3.0
58,58,58,4,4,3.583333333333333,3.0
59,59,59,3,3,4.761904761904762,5.0
60,60,60,1,3,4.0,4.0
61,61,61,23,3,4.202702702702703,3.0
62,62,62,2,3,3.0,2.0
63,63,63,1,3,3.2222222222222223,3.0
64,64,64,18,3,3.121212121212121,2.0
65,65,65,8,3,4.206896551724138,3.0
66,66,66,1,5,3.0,2.0
67,67,67,5,3,4.131578947368421,4.0
68,68,68,2,3,4.0,4.0
69,69,69,1,1,4.0,4.0
70,70,70,1,1,3.4,3.0
71,71,71,9,3,4.325,3.0
72,72,72,1,3,4.0,4.0
73,73,73,17,3,3.071428571428571,1.0
74,74,74,8,3,4.28169014084507,4.0
75,75,75,5,1,4.457142857142857,4.0
76,76,76,23,1,4.267379679144385,3.0
77,77,77,12,1,4.336734693877551,3.0
78,78,78,3,0,4.67741935483871,4.0
79,79,79,13,0,3.7288135593220337,2.0
80,80,80,9,0,4.347368421052632,4.0
81,81,81,11,0,3.9850746268656714,2.0
82,82,82,10,0,3.2727272727272725,3.0
83,83,83,1,0,4.0,3.0
84,84,84,7,0,4.205607476635514,4.0
85,85,85,4,0,4.09433962264151,4.0
