sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,1,0,1,1.0,0.0,0.574468085106383,0.0,1.0,0.574468085106383,0.0
2,2,0,2,1.0,0.0,0.9310344827586207,0.0,1.0,0.9310344827586207,0.0
3,3,0,2,1.0,0.0,1.08,0.0,1.0,1.08,0.0
4,4,0,4,1.0,0.0,1.588235294117647,0.0,1.0,1.588235294117647,0.0
5,5,0,4,1.0,0.0,1.588235294117647,0.0,1.0,1.588235294117647,0.0
6,6,0,2,1.0,0.0,2.076923076923077,0.0,1.0,2.076923076923077,0.0
7,7,0,3,1.0,0.0,2.4545454545454546,0.0,1.0,2.4545454545454546,0.0
8,8,0,3,1.0,0.0,5.4,0.0,1.0,5.4,0.0
9,9,0,1,1.0,0.0,27.0,0.0,1.0,27.0,0.0
10,10,1,3,2.0,1.0,0.84375,27.0,2.0,0.84375,27.0
11,11,1,2,3.0,2.0,1.08,9.0,3.0,1.08,9.0
12,12,2,2,2.0,1.0,2.076923076923077,13.5,2.0,2.076923076923077,13.5
13,13,2,3,2.5,2.0,1.5,6.75,2.5,1.5,6.75
14,14,2,3,3.0,3.0,1.8,3.857142857142857,3.0,1.8,3.857142857142857
15,15,2,3,3.75,3.0,2.4545454545454546,2.076923076923077,3.75,2.4545454545454546,2.076923076923077
16,16,7,3,4.269230769230769,4.0,4.5,0.9,4.269230769230769,4.5,0.9
17,17,5,3,2.7142857142857144,3.0,3.857142857142857,2.25,2.7142857142857144,3.857142857142857,2.25
18,18,1,3,2.0,1.0,3.857142857142857,27.0,2.0,3.857142857142857,27.0
19,19,1,3,4.285714285714286,5.0,5.4,0.6,4.285714285714286,5.4,0.6
20,20,4,2,3.2857142857142856,3.0,13.5,1.4210526315789473,3.2857142857142856,13.5,1.4210526315789473
21,21,2,2,3.75,4.0,13.5,1.2272727272727273,3.75,13.5,1.2272727272727273
22,22,5,1,4.285714285714286,4.0,27.0,0.7297297297297297,4.285714285714286,27.0,0.7297297297297297
23,23,2,1,2.0,1.0,27.0,13.5,2.0,27.0,13.5
24,24,6,1,2.5,2.0,27.0,3.375,2.5,27.0,3.375
25,25,1,1,4.333333333333334,4.0,27.0,1.2857142857142858,4.333333333333334,27.0,1.2857142857142858
26,26,6,1,4.291666666666666,4.0,27.0,0.675,4.291666666666666,27.0,0.675
27,27,1,0,2.0,1.0,0.0,27.0,2.0,0.0,27.0
28,28,8,0,4.135135135135135,3.0,0.0,0.6,4.135135135135135,0.0,0.6
