sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,1,0,2,1.0,0.0,14.5,0.0,1.0,14.5,0.0
2,2,0,2,1.0,0.0,14.5,0.0,1.0,14.5,0.0
3,3,0,3,1.0,0.0,9.666666666666666,0.0,1.0,9.666666666666666,0.0
4,4,0,2,1.0,0.0,14.5,0.0,1.0,14.5,0.0
5,5,0,2,1.0,0.0,1.2083333333333333,0.0,1.0,1.2083333333333333,0.0
6,6,0,4,1.0,0.0,2.230769230769231,0.0,1.0,2.230769230769231,0.0
7,7,0,4,1.0,0.0,2.230769230769231,0.0,1.0,2.230769230769231,0.0
8,8,0,2,1.0,0.0,4.833333333333333,0.0,1.0,4.833333333333333,0.0
9,9,0,3,1.0,0.0,5.8,0.0,1.0,5.8,0.0
10,10,0,2,1.0,0.0,14.5,0.0,1.0,14.5,0.0
11,11,0,1,1.0,0.0,29.0,0.0,1.0,29.0,0.0
12,12,1,2,2.0,1.0,14.5,29.0,2.0,14.5,29.0
13,13,1,6,2.0,1.0,2.0714285714285716,29.0,2.0,2.0714285714285716,29.0
14,14,3,5,2.5,1.0,2.9,14.5,2.5,2.9,14.5
15,15,1,2,3.0,2.0,7.25,9.666666666666666,3.0,7.25,9.666666666666666
16,16,2,1,2.6666666666666665,2.0,29.0,7.25,2.6666666666666665,29.0,7.25
17,17,1,1,2.0,1.0,29.0,29.0,2.0,29.0,29.0
18,18,1,2,3.0,2.0,14.5,9.666666666666666,3.0,14.5,9.666666666666666
19,19,3,2,2.75,2.0,14.5,4.142857142857143,2.75,14.5,4.142857142857143
20,20,1,2,2.0,1.0,14.5,29.0,2.0,14.5,29.0
21,21,4,1,2.6,2.0,29.0,4.833333333333333,2.6,29.0,4.833333333333333
22,22,1,1,4.0,3.0,29.0,4.833333333333333,4.0,29.0,4.833333333333333
23,23,3,0,3.6,3.0,0.0,1.7058823529411764,3.6,0.0,1.7058823529411764
24,24,4,0,3.0,3.0,0.0,1.8125,3.0,0.0,1.8125
25,25,1,0,2.0,1.0,0.0,29.0,2.0,0.0,29.0
26,26,8,0,3.333333333333333,3.0,0.0,1.16,3.333333333333333,0.0,1.16
27,27,1,0,3.0,2.0,0.0,9.666666666666666,3.0,0.0,9.666666666666666
28,28,5,0,2.2,1.0,0.0,5.8,2.2,0.0,5.8
29,29,10,0,2.3636363636363638,1.0,0.0,2.9,2.3636363636363638,0.0,2.9
30,30,1,0,2.0,1.0,0.0,29.0,2.0,0.0,29.0
