sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,1,0,3,1.0,0.0,0.6170212765957447,0.0,1.0,0.6170212765957447,0.0
2,2,0,2,1.0,0.0,0.6590909090909091,0.0,1.0,0.6590909090909091,0.0
3,3,0,3,1.0,0.0,0.8787878787878788,0.0,1.0,0.8787878787878788,0.0
4,4,0,4,1.0,0.0,1.0740740740740742,0.0,1.0,1.0740740740740742,0.0
5,5,0,2,1.0,0.0,1.16,0.0,1.0,1.16,0.0
6,6,0,3,1.0,0.0,1.9333333333333333,0.0,1.0,1.9333333333333333,0.0
7,7,0,2,1.0,0.0,2.4166666666666665,0.0,1.0,2.4166666666666665,0.0
8,8,0,2,1.0,0.0,2.4166666666666665,0.0,1.0,2.4166666666666665,0.0
9,9,0,3,1.0,0.0,3.2222222222222223,0.0,1.0,3.2222222222222223,0.0
10,10,1,3,2.0,1.0,0.8787878787878788,29.0,2.0,0.8787878787878788,29.0
11,11,2,3,2.5,2.0,1.0,7.25,2.5,1.0,7.25
12,12,2,3,2.0,1.0,1.0,14.5,2.0,1.0,14.5
13,13,5,3,2.857142857142857,2.0,1.1153846153846154,3.2222222222222223,2.857142857142857,1.1153846153846154,3.2222222222222223
14,14,1,3,2.0,1.0,1.8125,29.0,2.0,1.8125,29.0
15,15,2,2,2.5,1.0,1.9333333333333333,14.5,2.5,1.9333333333333333,14.5
16,16,6,4,3.090909090909091,2.0,2.0714285714285716,2.9,3.090909090909091,2.0714285714285716,2.9
17,17,3,4,3.7,3.0,2.230769230769231,1.45,3.7,2.230769230769231,1.45
18,18,2,2,3.2,3.0,2.4166666666666665,1.8125,3.2,2.4166666666666665,1.8125
19,19,2,2,3.0,2.0,2.4166666666666665,7.25,3.0,2.4166666666666665,7.25
20,20,4,2,3.2222222222222223,2.0,14.5,2.4166666666666665,3.2222222222222223,14.5,2.4166666666666665
21,21,4,3,3.571428571428571,4.0,9.666666666666666,0.8285714285714286,3.571428571428571,9.666666666666666,0.8285714285714286
22,22,3,3,3.7,3.0,9.666666666666666,1.380952380952381,3.7,9.666666666666666,1.380952380952381
23,23,10,4,3.5,3.0,7.25,0.9666666666666667,3.5,7.25,0.9666666666666667
24,24,3,3,4.304347826086957,4.0,14.5,0.5686274509803921,4.304347826086957,14.5,0.5686274509803921
25,25,2,3,3.888888888888889,3.0,9.666666666666666,1.3181818181818181,3.888888888888889,9.666666666666666,1.3181818181818181
26,26,4,1,4.117647058823529,4.0,29.0,0.6041666666666666,4.117647058823529,29.0,0.6041666666666666
27,27,2,1,2.0,1.0,29.0,14.5,2.0,29.0,14.5
28,28,10,1,4.2,3.0,0.0,0.6041666666666666,4.2,0.0,0.6041666666666666
29,29,5,0,4.342857142857143,4.0,0.0,0.5370370370370371,4.342857142857143,0.0,0.5370370370370371
30,30,1,0,3.7777777777777777,4.0,0.0,0.58,3.7777777777777777,0.0,0.58
