SLN_no,interactions,L_D,C,Basal,Top,Herbiv,Carniv,meanInDegree,stdInDegree,mean_longest_chain,mean_NTP,max_NTP,mean_NTP_norm,TrOmniv,q_inCoherence,mean_path_len,std_path_len,Modularity
1,293.0,3.0520833333333335,0.03212719298245614,0.28125,0.10416666666666667,0.6268656716417911,0.208955223880597,4.373134328358209,5.418363335847666,1.1666666666666667,2.134236538626711,5.818181818181818,0.3668219050764659,0.2835820895522388,0.527998297062547,2.263724434876211,1.1486440250990855,0.0
2,292.0,3.0416666666666665,0.032017543859649125,0.28125,0.09375,0.6417910447761194,0.208955223880597,4.358208955223881,7.066140973594178,1.0208333333333333,2.0154948537854227,4.619565217391305,0.43629535658413854,0.26865671641791045,0.5773923037509913,1.8333333333333333,0.7642682515091812,0.0
3,271.0,2.8229166666666665,0.029714912280701753,0.28125,0.08333333333333333,0.6417910447761194,0.208955223880597,4.044776119402985,6.093794249743665,1.1354166666666667,2.088299070032659,4.882352941176471,0.42772390591030357,0.26865671641791045,0.6375657525785938,1.9474431818181819,0.8724121640399255,0.0
4,256.0,2.6666666666666665,0.028070175438596492,0.28125,0.10416666666666667,0.6567164179104478,0.208955223880597,3.8208955223880596,4.386360999992177,1.1770833333333333,2.003122101108402,4.746478873239436,0.4220227572068147,0.19402985074626866,0.6770470596174218,2.086402266288952,1.0516649830311282,0.0
5,225.0,2.34375,0.024671052631578948,0.28125,0.17708333333333334,0.6417910447761194,0.22388059701492538,3.3582089552238807,4.055305139426377,1.1041666666666667,2.060436625184643,5.388888888888889,0.3823490644672533,0.26865671641791045,0.5717273900264355,2.0262295081967214,0.9499635528993711,0.0
6,288.0,3.0,0.031578947368421054,0.28125,0.07291666666666667,0.6567164179104478,0.19402985074626866,4.298507462686567,7.507602057093246,1.1041666666666667,2.044444496509443,4.975,0.4109436173888328,0.26865671641791045,0.6439393471236116,2.0386740331491713,0.8872538975992526,0.0
7,200.0,2.0833333333333335,0.021929824561403508,0.28125,0.28125,0.6716417910447762,0.22388059701492538,2.985074626865672,3.240335454545226,1.0729166666666667,2.0245760894198392,5.166666666666666,0.3918534366619044,0.208955223880597,0.49195553506685985,1.936448598130841,0.8566103965144078,0.0
8,325.0,3.3854166666666665,0.0356359649122807,0.28125,0.09375,0.6567164179104478,0.208955223880597,4.850746268656716,8.296135886469445,1.03125,2.0115085082079505,4.5,0.4470018907128779,0.2537313432835821,0.5145783726066359,1.744982290436836,0.6762748880982414,0.0
9,245.0,2.5520833333333335,0.0268640350877193,0.28125,0.21875,0.6417910447761194,0.208955223880597,3.656716417910448,3.548590154558483,1.1145833333333333,2.0770828490792326,4.85,0.42826450496479024,0.2835820895522388,0.6182666833221785,1.9667774086378738,0.9681582324270324,0.0
10,252.0,2.625,0.02763157894736842,0.28125,0.13541666666666666,0.6417910447761194,0.23880597014925373,3.7611940298507465,5.155431240930658,1.0729166666666667,2.038399864022539,5.1875,0.39294455210073037,0.22388059701492538,0.4575117420676289,2.027063599458728,0.9424200008537861,0.0
11,236.0,2.4583333333333335,0.02587719298245614,0.28125,0.125,0.6567164179104478,0.23880597014925373,3.5223880597014925,5.106022020852537,1.125,2.1046539186267057,5.380434782608695,0.3911680010376908,0.23880597014925373,0.5800391954480228,2.1944444444444446,1.0326908137472812,0.0
12,273.0,2.84375,0.02993421052631579,0.28125,0.08333333333333333,0.6417910447761194,0.22388059701492538,4.074626865671642,5.598466870318622,1.1770833333333333,2.0925535436533944,4.948717948717949,0.4228476072667481,0.2537313432835821,0.684675767656332,2.1675675675675676,0.9797887323224124,0.0
13,218.0,2.2708333333333335,0.023903508771929826,0.28125,0.22916666666666666,0.7164179104477612,0.208955223880597,3.253731343283582,3.345477651189554,0.9895833333333334,1.9892170351209746,4.797297297297297,0.41465369182803413,0.19402985074626866,0.4233390808251716,1.8781818181818182,0.8566021130003642,0.0
14,307.0,3.1979166666666665,0.033662280701754387,0.28125,0.07291666666666667,0.6716417910447762,0.208955223880597,4.582089552238806,6.74233403910613,1.1041666666666667,2.0569922503290936,4.875,0.4219471282726346,0.2537313432835821,0.561808799877342,2.077577045696068,0.9313321936677059,0.0
15,325.0,3.3854166666666665,0.0356359649122807,0.28125,0.041666666666666664,0.6119402985074627,0.23880597014925373,4.850746268656716,5.021932898865293,1.125,2.0969537432313126,4.666666666666666,0.44934723069242416,0.26865671641791045,0.7085969808547948,1.9947201689545935,0.8862191354697215,0.0
16,215.0,2.2395833333333335,0.023574561403508772,0.28125,0.19791666666666666,0.6865671641791045,0.208955223880597,3.208955223880597,3.5271127922820775,1.0833333333333333,2.0029270560687875,4.927272727272728,0.4064981110102705,0.208955223880597,0.5123504849851004,2.0323159784560145,1.0066490393713448,0.0
17,289.0,3.0104166666666665,0.03168859649122807,0.28125,0.10416666666666667,0.6268656716417911,0.22388059701492538,4.313432835820896,5.1233540009358585,1.1979166666666667,2.045497653424122,4.416666666666666,0.4631315441714994,0.26865671641791045,0.7801158338846735,2.148456057007126,1.097203771042184,0.0
18,280.0,2.9166666666666665,0.03070175438596491,0.28125,0.08333333333333333,0.6567164179104478,0.2537313432835821,4.17910447761194,6.16914456310064,1.0208333333333333,1.9933282696513805,4.9,0.4068016876839552,0.1791044776119403,0.4627843141927877,1.945985401459854,0.9404812907581431,0.0
19,258.0,2.6875,0.028289473684210528,0.28125,0.125,0.6716417910447762,0.22388059701492538,3.8507462686567164,5.040002799852768,1.1041666666666667,2.078583210496148,5.666666666666666,0.3668088018522615,0.22388059701492538,0.671985892064998,2.180141843971631,1.110462885809696,0.0
20,237.0,2.46875,0.02598684210526316,0.28125,0.1875,0.6865671641791045,0.19402985074626866,3.537313432835821,5.34939350345596,1.09375,2.044228121884126,5.9,0.3464793426922247,0.22388059701492538,0.4925949763219991,2.044481054365733,1.0837831091185945,0.0
21,272.0,2.8333333333333335,0.02982456140350877,0.28125,0.14583333333333334,0.6417910447761194,0.208955223880597,4.059701492537314,5.984527011043298,1.0625,2.0416525674081427,5.166666666666666,0.3951585614338341,0.29850746268656714,0.5431013082484635,1.9337748344370862,0.8865998754532135,0.0
22,332.0,3.4583333333333335,0.03640350877192983,0.28125,0.08333333333333333,0.6417910447761194,0.22388059701492538,4.955223880597015,8.136026943097903,1.1875,2.135536298416155,5.418803418803419,0.3940973926099213,0.26865671641791045,0.6620253244582766,2.2366803278688523,1.1160033288537314,0.0
23,302.0,3.1458333333333335,0.0331140350877193,0.28125,0.0625,0.6567164179104478,0.22388059701492538,4.507462686567164,8.464494712457618,1.1354166666666667,2.097089042376647,5.413333333333334,0.3873932960055382,0.23880597014925373,0.6439567276899759,2.229381443298969,0.9759600316368937,0.0
24,279.0,2.90625,0.030592105263157896,0.28125,0.16666666666666666,0.6567164179104478,0.208955223880597,4.164179104477612,6.2779001867913085,1.0208333333333333,2.0038754687853326,4.857142857142858,0.4125625965146273,0.22388059701492538,0.40397969242060117,1.6722129783693844,0.7028821104789063,0.0
25,244.0,2.5416666666666665,0.02675438596491228,0.28125,0.19791666666666666,0.6268656716417911,0.208955223880597,3.6417910447761193,4.568341296149009,1.15625,2.1036628147145398,5.5,0.3824841481299163,0.2835820895522388,0.6272281472759694,2.146969696969697,1.105060740572658,0.0
26,246.0,2.5625,0.026973684210526316,0.28125,0.15625,0.6268656716417911,0.23880597014925373,3.671641791044776,4.109811098296562,1.1979166666666667,2.1279382029698826,5.368421052631579,0.39638064565125264,0.2835820895522388,0.7409157841516256,2.1333333333333333,1.0719550701648644,0.0
27,319.0,3.3229166666666665,0.034978070175438594,0.28125,0.052083333333333336,0.6119402985074627,0.19402985074626866,4.7611940298507465,6.055524780799176,1.1041666666666667,2.044548847617343,4.454545454545455,0.4589803535467504,0.29850746268656714,0.6547300991689186,1.824852071005917,0.752624244997087,0.0
28,265.0,2.7604166666666665,0.02905701754385965,0.28125,0.08333333333333333,0.6268656716417911,0.22388059701492538,3.955223880597015,5.3581793488055744,1.1041666666666667,2.082418689107221,5.318181818181818,0.39156590735349456,0.2835820895522388,0.5852689126206352,2.01763907734057,0.9518079849476027,0.0
29,193.0,2.0104166666666665,0.021162280701754386,0.28125,0.2916666666666667,0.6417910447761194,0.26865671641791045,2.8805970149253732,3.092132676108453,1.125,2.1321131615049933,6.666666666666667,0.319816974225749,0.208955223880597,0.7368858922478494,1.9308510638297873,1.1595425852861976,0.0
30,334.0,3.4791666666666665,0.03662280701754386,0.28125,0.0625,0.6119402985074627,0.22388059701492538,4.985074626865671,7.080687642760868,1.0833333333333333,2.0710831108071988,4.413333333333334,0.46927865048501477,0.2835820895522388,0.5795334699053126,1.6939024390243902,0.6387655144195137,0.0
31,301.0,3.1354166666666665,0.03300438596491228,0.28125,0.08333333333333333,0.6119402985074627,0.22388059701492538,4.492537313432836,5.315423910026705,1.1875,2.112692033490269,4.785714285714286,0.4414580368487129,0.31343283582089554,0.6155986762058574,2.0023696682464456,0.8901698963909617,0.0
32,274.0,2.8541666666666665,0.030043859649122807,0.28125,0.17708333333333334,0.6716417910447762,0.208955223880597,4.08955223880597,4.494883769298433,1.0625,2.0762623232653157,5.416666666666666,0.3833099673720583,0.23880597014925373,0.526933722623004,2.14616497829233,1.1498187237040445,0.0
33,248.0,2.5833333333333335,0.027192982456140352,0.28125,0.13541666666666666,0.6417910447761194,0.22388059701492538,3.701492537313433,3.765935536603429,1.125,2.103431974193391,5.444444444444445,0.38634464832123505,0.23880597014925373,0.7398292255418926,2.0510204081632653,1.0766765285417015,0.0
34,226.0,2.3541666666666665,0.024780701754385966,0.28125,0.11458333333333333,0.6865671641791045,0.208955223880597,3.373134328358209,3.5583270707298054,1.1041666666666667,2.0593715546986595,6.384615384615385,0.32255217121786234,0.2537313432835821,0.498853902452963,2.4109792284866467,1.4042806313884413,0.0
35,312.0,3.25,0.034210526315789476,0.28125,0.041666666666666664,0.6417910447761194,0.208955223880597,4.656716417910448,7.715690897413098,1.0625,2.045171203201735,4.730769230769231,0.4323126120589033,0.2537313432835821,0.6156581786770634,2.020874751491054,0.8349109227778843,0.0
36,233.0,2.4270833333333335,0.025548245614035087,0.28125,0.16666666666666666,0.6417910447761194,0.23880597014925373,3.4776119402985075,3.368113440809009,1.1145833333333333,2.0426265759230113,4.88,0.4185710196563548,0.26865671641791045,0.5525113052031119,2.1280575539568347,1.023923401495178,0.0
37,281.0,2.9270833333333335,0.03081140350877193,0.28125,0.0625,0.6119402985074627,0.208955223880597,4.1940298507462686,5.349139851472438,1.1041666666666667,2.0742260818005422,5.054794520547945,0.4103482492450937,0.26865671641791045,0.7067413973258347,2.020107238605898,0.9739550527926243,0.0
38,263.0,2.7395833333333335,0.028837719298245613,0.28125,0.08333333333333333,0.6716417910447762,0.208955223880597,3.925373134328358,5.69506280816676,1.0625,2.05168787434097,4.909090909090909,0.41793641884723465,0.2537313432835821,0.537360218392895,1.9880636604774535,0.9065883781021145,0.0
39,255.0,2.65625,0.027960526315789474,0.28125,0.08333333333333333,0.6417910447761194,0.22388059701492538,3.8059701492537314,5.768878904715997,1.0208333333333333,2.0251127684211925,4.875,0.41540774736844976,0.23880597014925373,0.5049845593976148,1.7871674491392802,0.7417833855237616,0.0
40,258.0,2.6875,0.028289473684210528,0.28125,0.09375,0.6417910447761194,0.22388059701492538,3.8507462686567164,4.997738068194582,1.09375,2.049464348498543,4.659090909090909,0.43988503089724823,0.22388059701492538,0.6155067451704472,1.7443181818181819,0.8201482655627618,0.0
41,293.0,3.0520833333333335,0.03212719298245614,0.28125,0.0625,0.6417910447761194,0.208955223880597,4.373134328358209,8.278917768710862,1.1041666666666667,2.0585921722333618,4.28476821192053,0.48044423185044455,0.26865671641791045,0.6999715725971488,1.8709677419354838,0.7636103669406032,0.0
42,270.0,2.8125,0.029605263157894735,0.28125,0.125,0.6268656716417911,0.1791044776119403,4.029850746268656,4.0150102805775445,1.09375,2.0111618096517567,4.555555555555555,0.441474543582093,0.2835820895522388,0.6988323579106962,1.9248895434462445,0.9016286204404143,0.0
43,214.0,2.2291666666666665,0.023464912280701754,0.28125,0.20833333333333334,0.6716417910447762,0.208955223880597,3.1940298507462686,3.061188153019403,1.1458333333333333,2.102876223298138,5.1875,0.40537372979241215,0.22388059701492538,0.6412251708649143,2.242506811989101,1.0373869125671191,0.0
44,246.0,2.5625,0.026973684210526316,0.28125,0.16666666666666666,0.6865671641791045,0.22388059701492538,3.671641791044776,4.841074447799387,1.125,2.0394074272428035,4.9523809523809526,0.411803422808643,0.19402985074626866,0.6576203990717513,2.06838905775076,1.0067674300179388,0.0
45,258.0,2.6875,0.028289473684210528,0.28125,0.125,0.6567164179104478,0.19402985074626866,3.8507462686567164,6.291537682025113,0.9791666666666666,1.9900101656364633,4.476190476190476,0.44457673913155027,0.2537313432835821,0.5476712036499134,1.7996941896024465,0.7266107299587238,0.0
